architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0004,channels,2,1572864,LL,LL,12,12,0,108,0,16,20,100,0,True,,15.72864,205237;205466,5,52.6540803909,52.6233577728,52.6643180847,52.73059,52.70433,52.74341,0.07903007689999697,0.07650960910000038,0.0790919152999976
a100,c0004,channels,2,2097152,LL,LL,12,12,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,65.5257606506,65.5052804947,65.5667209625,65.5973,65.57997,65.64969,0.07468950530000029,0.07153934939999829,0.08229872560001184
a100,c0004,channels,2,3145728,LL,LL,12,12,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,90.2451229095,90.2143955231,90.2655982971,90.31846,90.30095,90.33701,0.08138232670000889,0.07333709050000436,0.08655447690000528
a100,c0004,channels,2,4194304,LL,LL,12,12,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,118.220796585,118.128643036,118.292484283,118.30433,118.20673,118.38679,0.07808696399999349,0.07544375999999886,0.0835334149999909
a100,c0005,channels,2,262144,LL,LL,16,16,0,108,0,16,20,100,0,True,,2.6214399999999998,205237;205466,5,17.7868795395,17.7254402637,17.8175997734,17.88749,17.81024,17.91254,0.07689012610000034,0.07619983669999897,0.08479973629999904
a100,c0005,channels,2,524288,LL,LL,16,16,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,25.7228803635,25.7228803635,25.8150410652,25.80406,25.79554,25.89744,0.08117963649999993,0.07789049420000183,0.08239893480000049
a100,c0005,channels,2,1048576,LL,LL,16,16,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,41.3184022903,41.2671995163,41.6358423233,41.39502,41.34273,41.75992,0.07661770970000248,0.07630958099999674,0.12407767670000425
a100,c0005,channels,2,2097152,LL,LL,16,16,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,66.6214418411,66.5395212173,66.7545604706,66.83077,66.70252,66.88327,0.07751152369999659,0.07620952940000336,0.08107815890001291
a100,c0005,channels,2,3145728,LL,LL,16,16,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,92.2214412689,92.0780754089,92.4876785278,92.3081,92.1555,92.5691,0.08001091430000429,0.077424591099998,0.08142147220000595
a100,c0005,channels,2,4194304,LL,LL,16,16,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,120.442876816,120.227842331,120.647678375,120.5254,120.30118,120.79052,0.13154252700000768,0.08252318400001002,0.13237926099999697
a100,c0006,channels,2,262144,LL,LL,20,16,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205237;205466,5,17.7868795395,17.7766394615,17.8278398514,17.86375,17.85423,17.90803,0.07759053850000086,0.07687046050000035,0.07893950229999902
a100,c0006,channels,2,327680,LL,LL,20,20,0,108,0,16,20,100,0,True,,3.2768,205237;205466,5,18.9952003956,18.9132797718,19.0259194374,19.07338,18.99373,19.10404,0.07812056260000233,0.07758040659999921,0.07817960439999894
a100,c0006,channels,2,524288,LL,LL,20,19,0,108,0,16,20,100,0,False,channels_unrealized,5.2428799999999995,205237;205466,5,25.3030395508,25.2723193169,25.3849601746,25.37764,25.35189,25.45999,0.07676068310000161,0.07502982540000147,0.07957068310000182
