architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0004,channels,2,1572864,LL,LL,12,12,0,108,0,16,20,100,0,True,,15.72864,205466,2,52.64383792875,52.633597850775,52.654078006725,52.72387,52.7141,52.733639999999994,0.08003207124999889,0.07956199327499824,0.08050214922499954
a100,c0004,channels,2,2097152,LL,LL,12,12,0,108,0,16,20,100,0,True,,20.971519999999998,205237,3,65.5667209625,65.5360007286,65.58720111845,65.64969,65.61483000000001,65.669835,0.08229872560001184,0.07849411545000606,0.08263388155000939
a100,c0004,channels,2,2097152,LL,LL,12,12,0,108,0,16,20,100,0,True,,20.971519999999998,205466,2,65.50528049465001,65.495040416675,65.51552057262501,65.57645500000001,65.5660325,65.5868775,0.07117450535000103,0.0709920833250024,0.07135692737499966
a100,c0004,channels,2,3145728,LL,LL,12,12,0,108,0,16,20,100,0,True,,31.45728,205237,3,90.2451229095,90.2297592163,90.35264015195,90.31846,90.30970500000001,90.45573,0.08655447690000528,0.07994578370000482,0.10969854125000467
a100,c0004,channels,2,3145728,LL,LL,12,12,0,108,0,16,20,100,0,True,,31.45728,205466,2,90.22463798519999,90.20415782925,90.24511814115,90.30103500000001,90.28304750000001,90.3190225,0.07639701480000838,0.07390435885000812,0.07888967075000863
a100,c0004,channels,2,4194304,LL,LL,12,12,0,108,0,16,20,100,0,True,,41.943039999999996,205237,3,118.220796585,118.0415964125,118.266878128,118.30433,118.121085,118.34556,0.07544375999999886,0.07463704450000108,0.07948858749999488
a100,c0004,channels,2,4194304,LL,LL,12,12,0,108,0,16,20,100,0,True,,41.943039999999996,205466,2,118.2105636595,118.16960334775,118.25152397125,118.31124,118.258985,118.363495,0.10067634050000152,0.0893816522499975,0.11197102875000553
a100,c0005,channels,2,262144,LL,LL,16,16,0,108,0,16,20,100,0,True,,2.6214399999999998,205237,1,17.6742398739,17.6742398739,17.6742398739,17.75113,17.75113,17.75113,0.07689012610000034,0.07689012610000034,0.07689012610000034
a100,c0005,channels,2,262144,LL,LL,16,16,0,108,0,16,20,100,0,True,,2.6214399999999998,205466,4,17.80223965645,17.77151972055,17.830399870875002,17.900015,17.8681775,17.920655,0.080499786499999,0.07462243417499881,0.09501491734999945
a100,c0005,channels,2,524288,LL,LL,16,16,0,108,0,16,20,100,0,True,,5.2428799999999995,205237,1,25.6102395058,25.6102395058,25.6102395058,25.68813,25.68813,25.68813,0.07789049420000183,0.07789049420000183,0.07789049420000183
