width,protocol,channels,sms,parameter,baseline_ps,perturbed_ps,fractional_parameter_change,normalized_sensitivity
2,SIMPLE,4,4,warp_issue_cycles,625480,629160,0.25,0.023533925944874336
2,SIMPLE,4,4,barrier_cycles_per_warp,625480,686360,0.5,0.19466649613097142
2,SIMPLE,4,4,publication_cycles,625480,633480,0.05,0.25580354287906887
2,SIMPLE,4,4,poll_issue_cycles,625480,629480,0.25,0.02558035428790689
2,SIMPLE,4,4,poll_interval_cycles,625480,625480,0.05,0.0
2,SIMPLE,4,4,memory_bytes_per_second,625480,624940,0.05,-0.01726673914433715
2,SIMPLE,4,4,shared_memory_bytes_per_second,625480,625480,0.05,0.0
4,LL,1,1,kernel_entry_cycles,719520,729520,0.05,0.2779630865021125
4,LL,1,1,block_setup_cycles,719520,723520,0.05,0.11118523460084499
4,LL,1,1,warp_issue_cycles,719520,729520,0.25,0.0555926173004225
4,LL,1,1,barrier_cycles_per_warp,719520,675520,0.5,-0.12230375806092951
4,LL,1,1,publication_cycles,719520,725520,0.05,0.1667778519012675
4,LL,1,1,poll_issue_cycles,719520,725520,0.25,0.0333555703802535
4,LL,1,1,poll_interval_cycles,719520,724520,0.05,0.13898154325105624
4,LL,1,1,memory_bytes_per_second,719520,717457,0.05,-0.05734378474538581
4,LL,1,1,shared_memory_bytes_per_second,719520,719520,0.05,0.0
4,LL,1,4,kernel_entry_cycles,719520,729520,0.05,0.2779630865021125
4,LL,1,4,block_setup_cycles,719520,723520,0.05,0.11118523460084499
4,LL,1,4,warp_issue_cycles,719520,729520,0.25,0.0555926173004225
4,LL,1,4,barrier_cycles_per_warp,719520,675520,0.5,-0.12230375806092951
4,LL,1,4,publication_cycles,719520,725520,0.05,0.1667778519012675
4,LL,1,4,poll_issue_cycles,719520,725520,0.25,0.0333555703802535
4,LL,1,4,poll_interval_cycles,719520,724520,0.05,0.13898154325105624
4,LL,1,4,memory_bytes_per_second,719520,717457,0.05,-0.05734378474538581
4,LL,1,4,shared_memory_bytes_per_second,719520,719520,0.05,0.0
4,LL,4,1,kernel_entry_cycles,1747520,1757520,0.05,0.11444790331441128
4,LL,4,1,block_setup_cycles,1747520,1763520,0.05,0.18311664530305805
4,LL,4,1,warp_issue_cycles,1747520,1787520,0.25,0.09155832265152902
4,LL,4,1,barrier_cycles_per_warp,1747520,1971520,0.5,0.25636330342428126
4,LL,4,1,publication_cycles,1747520,1771520,0.05,0.27467496795458707
4,LL,4,1,poll_issue_cycles,1747520,1771520,0.25,0.054934993590917414
4,LL,4,1,poll_interval_cycles,1747520,1747520,0.05,0.0
4,LL,4,1,memory_bytes_per_second,1747520,1745480,0.05,-0.0233473722761399
4,LL,4,1,shared_memory_bytes_per_second,1747520,1747520,0.05,0.0
4,LL,4,4,kernel_entry_cycles,689920,699920,0.05,0.2898886827458256
4,LL,4,4,block_setup_cycles,689920,693920,0.05,0.11595547309833022
4,LL,4,4,warp_issue_cycles,689920,698920,0.25,0.05217996289424861
4,LL,4,4,barrier_cycles_per_warp,689920,647680,0.5,-0.12244897959183673
4,LL,4,4,publication_cycles,689920,696640,0.05,0.1948051948051948
4,LL,4,4,poll_issue_cycles,689920,696640,0.25,0.03896103896103896
4,LL,4,4,poll_interval_cycles,689920,693800,0.05,0.11247680890538032
4,LL,4,4,memory_bytes_per_second,689920,689080,0.05,-0.02435064935064935
4,LL,4,4,shared_memory_bytes_per_second,689920,689920,0.05,0.0
4,LL128,1,1,kernel_entry_cycles,1444096,1454096,0.05,0.13849494770430773
4,LL128,1,1,block_setup_cycles,1444096,1448096,0.05,0.055397979081723094
4,LL128,1,1,warp_issue_cycles,1444096,1484096,0.25,0.1107959581634462
4,LL128,1,1,barrier_cycles_per_warp,1444096,1508096,0.5,0.08863676653075696
4,LL128,1,1,publication_cycles,1444096,1450096,0.05,0.08309696862258464
4,LL128,1,1,poll_issue_cycles,1444096,1450096,0.25,0.01661939372451693
4,LL128,1,1,poll_interval_cycles,1444096,1474096,0.05,0.4154848431129232
4,LL128,1,1,memory_bytes_per_second,1444096,1438125,0.05,-0.08269533327424215
4,LL128,1,1,shared_memory_bytes_per_second,1444096,1443780,0.05,-0.004376440347456124
4,LL128,1,4,kernel_entry_cycles,1444096,1454096,0.05,0.13849494770430773
4,LL128,1,4,block_setup_cycles,1444096,1448096,0.05,0.055397979081723094
4,LL128,1,4,warp_issue_cycles,1444096,1484096,0.25,0.1107959581634462
4,LL128,1,4,barrier_cycles_per_warp,1444096,1508096,0.5,0.08863676653075696
4,LL128,1,4,publication_cycles,1444096,1450096,0.05,0.08309696862258464
4,LL128,1,4,poll_issue_cycles,1444096,1450096,0.25,0.01661939372451693
4,LL128,1,4,poll_interval_cycles,1444096,1474096,0.05,0.4154848431129232
