protocol,count,reuse_delay_ps,reservation,steps,issued_at_ps,oracle_ps
SIMPLE,8,2000000,4,2,0,0
SIMPLE,8,2000000,5,2,2000000,2000000
SIMPLE,8,2000000,6,2,2000000,2000000
SIMPLE,8,2000000,7,2,2000000,2000000
SIMPLE,8,2000000,8,2,2000000,2000000
SIMPLE,8,8000000,1,2,0,0
SIMPLE,8,8000000,2,2,0,0
SIMPLE,8,8000000,3,2,0,0
SIMPLE,8,8000000,4,2,0,0
SIMPLE,8,8000000,5,2,8000000,8000000
SIMPLE,8,8000000,6,2,8000000,8000000
SIMPLE,8,8000000,7,2,8000000,8000000
SIMPLE,8,8000000,8,2,8000000,8000000
SIMPLE,9,0,1,2,0,0
SIMPLE,9,0,2,2,0,0
SIMPLE,9,0,3,2,0,0
SIMPLE,9,0,4,2,0,0
SIMPLE,9,0,5,2,0,0
SIMPLE,9,0,6,2,0,0
SIMPLE,9,0,7,2,0,0
SIMPLE,9,0,8,2,0,0
SIMPLE,9,0,9,2,0,0
SIMPLE,9,500000,1,2,0,0
SIMPLE,9,500000,2,2,0,0
SIMPLE,9,500000,3,2,0,0
SIMPLE,9,500000,4,2,0,0
SIMPLE,9,500000,5,2,500000,500000
SIMPLE,9,500000,6,2,500000,500000
SIMPLE,9,500000,7,2,500000,500000
SIMPLE,9,500000,8,2,500000,500000
SIMPLE,9,500000,9,2,1000000,1000000
SIMPLE,9,2000000,1,2,0,0
SIMPLE,9,2000000,2,2,0,0
SIMPLE,9,2000000,3,2,0,0
SIMPLE,9,2000000,4,2,0,0
SIMPLE,9,2000000,5,2,2000000,2000000
SIMPLE,9,2000000,6,2,2000000,2000000
SIMPLE,9,2000000,7,2,2000000,2000000
SIMPLE,9,2000000,8,2,2000000,2000000
SIMPLE,9,2000000,9,2,4000000,4000000
SIMPLE,9,8000000,1,2,0,0
SIMPLE,9,8000000,2,2,0,0
SIMPLE,9,8000000,3,2,0,0
SIMPLE,9,8000000,4,2,0,0
SIMPLE,9,8000000,5,2,8000000,8000000
SIMPLE,9,8000000,6,2,8000000,8000000
SIMPLE,9,8000000,7,2,8000000,8000000
SIMPLE,9,8000000,8,2,8000000,8000000
SIMPLE,9,8000000,9,2,16000000,16000000
SIMPLE,16,0,1,2,0,0
SIMPLE,16,0,2,2,0,0
SIMPLE,16,0,3,2,0,0
SIMPLE,16,0,4,2,0,0
SIMPLE,16,0,5,2,0,0
SIMPLE,16,0,6,2,0,0
SIMPLE,16,0,7,2,0,0
SIMPLE,16,0,8,2,0,0
SIMPLE,16,0,9,2,0,0
SIMPLE,16,0,10,2,0,0
SIMPLE,16,0,11,2,0,0
SIMPLE,16,0,12,2,0,0
SIMPLE,16,0,13,2,0,0
SIMPLE,16,0,14,2,0,0
SIMPLE,16,0,15,2,0,0
SIMPLE,16,0,16,2,0,0
SIMPLE,16,500000,1,2,0,0
SIMPLE,16,500000,2,2,0,0
SIMPLE,16,500000,3,2,0,0
SIMPLE,16,500000,4,2,0,0
SIMPLE,16,500000,5,2,500000,500000
SIMPLE,16,500000,6,2,500000,500000
SIMPLE,16,500000,7,2,500000,500000
SIMPLE,16,500000,8,2,500000,500000
SIMPLE,16,500000,9,2,1000000,1000000
SIMPLE,16,500000,10,2,1000000,1000000
SIMPLE,16,500000,11,2,1000000,1000000
