width,protocol,channels,sms,payload_bytes,link_rate_multiplier,duration_ps,useful_network_bytes,protocol_data_bytes,counter_bytes,resource_work_wait_ps,input_bytes,output_bytes
2,SIMPLE,4,1,262144,2,11094240,524288,524288,576,50713600,524288,524288
2,SIMPLE,4,4,16384,0.5,2037600,32768,32768,576,8646400,32768,32768
2,SIMPLE,4,4,65536,0.5,6707040,131072,131072,576,61894400,131072,131072
2,SIMPLE,4,4,262144,0.5,25384800,524288,524288,576,277057280,524288,524288
2,SIMPLE,4,4,16384,1,1282080,32768,32768,576,6503680,32768,32768
2,SIMPLE,4,4,65536,1,3894560,131072,131072,576,60043520,131072,131072
2,SIMPLE,4,4,262144,1,14216480,524288,524288,576,276312320,524288,524288
2,SIMPLE,4,4,16384,2,1047080,32768,32768,576,8939520,32768,32768
2,SIMPLE,4,4,65536,2,2777640,131072,131072,576,61276160,131072,131072
2,SIMPLE,4,4,262144,2,9781800,524288,524288,576,276807680,524288,524288
4,LL,1,1,16384,0.5,4605760,98304,196608,192,4574720,65536,65536
4,LL,1,1,65536,0.5,17141760,393216,786432,192,10580480,262144,262144
4,LL,1,1,262144,0.5,67316160,1572864,3145728,384,39811840,1048576,1048576
4,LL,1,1,16384,1,2458080,98304,196608,192,6536320,65536,65536
4,LL,1,1,65536,1,8742240,393216,786432,192,15278080,262144,262144
4,LL,1,1,262144,1,33967200,1572864,3145728,384,53157760,1048576,1048576
4,LL,1,1,16384,2,1549280,98304,196608,192,9070080,65536,65536
4,LL,1,1,65536,2,4621280,393216,786432,192,37578240,262144,262144
4,LL,1,1,262144,2,17150560,1572864,3145728,384,151178240,1048576,1048576
4,LL,1,4,16384,0.5,4605760,98304,196608,192,4574720,65536,65536
4,LL,1,4,65536,0.5,17141760,393216,786432,192,10580480,262144,262144
4,LL,1,4,262144,0.5,67316160,1572864,3145728,384,39811840,1048576,1048576
4,LL,1,4,16384,1,2458080,98304,196608,192,6536320,65536,65536
4,LL,1,4,65536,1,8742240,393216,786432,192,15278080,262144,262144
4,LL,1,4,262144,1,33967200,1572864,3145728,384,53157760,1048576,1048576
4,LL,1,4,16384,2,1549280,98304,196608,192,9070080,65536,65536
4,LL,1,4,65536,2,4621280,393216,786432,192,37578240,262144,262144
4,LL,1,4,262144,2,17150560,1572864,3145728,384,151178240,1048576,1048576
4,LL,4,1,16384,0.5,5256000,98304,196608,768,6402560,65536,65536
4,LL,4,1,65536,0.5,17823040,393216,786432,768,18298880,262144,262144
4,LL,4,1,262144,0.5,67967040,1572864,3145728,768,42321920,1048576,1048576
4,LL,4,1,16384,1,3821760,98304,196608,768,6771200,65536,65536
4,LL,4,1,65536,1,9232320,393216,786432,768,26145280,262144,262144
4,LL,4,1,262144,1,34368960,1572864,3145728,768,61112320,1048576,1048576
4,LL,4,1,16384,2,2801600,98304,196608,768,7490560,65536,65536
4,LL,4,1,65536,2,5597120,393216,786432,768,36280320,262144,262144
4,LL,4,1,262144,2,17885120,1572864,3145728,768,150312960,1048576,1048576
4,LL,4,4,16384,0.5,4586720,98304,196608,768,18155520,65536,65536
4,LL,4,4,65536,0.5,17084160,393216,786432,768,39046400,262144,262144
4,LL,4,4,262144,0.5,67244160,1572864,3145728,768,97092480,1048576,1048576
4,LL,4,4,16384,1,2514880,98304,196608,768,13349120,65536,65536
4,LL,4,4,65536,1,8772160,393216,786432,768,37294720,262144,262144
4,LL,4,4,262144,1,33860160,1572864,3145728,768,111105920,1048576,1048576
4,LL,4,4,16384,2,1476160,98304,196608,768,12834560,65536,65536
4,LL,4,4,65536,2,4584640,393216,786432,768,48665600,262144,262144
4,LL,4,4,262144,2,17131840,1572864,3145728,768,251644800,1048576,1048576
4,LL128,1,1,16384,0.5,3595936,98304,147456,192,1859200,65536,65536
4,LL128,1,1,65536,0.5,9872800,393216,442368,192,7098240,262144,262144
4,LL128,1,1,262144,0.5,36996576,1572864,1720320,192,29400320,1048576,1048576
4,LL128,1,1,16384,1,2043952,98304,147456,192,2179840,65536,65536
4,LL128,1,1,65536,1,5202400,393216,442368,192,9418880,262144,262144
4,LL128,1,1,262144,1,18775136,1572864,1720320,192,26980160,1048576,1048576
4,LL128,1,1,16384,2,1518928,98304,147456,192,3812544,65536,65536
4,LL128,1,1,65536,2,3164640,393216,442368,192,26490880,262144,262144
4,LL128,1,1,262144,2,10196160,1572864,1720320,192,119506624,1048576,1048576
4,LL128,1,4,16384,0.5,3595936,98304,147456,192,1859200,65536,65536
4,LL128,1,4,65536,0.5,9872800,393216,442368,192,7098240,262144,262144
4,LL128,1,4,262144,0.5,36996576,1572864,1720320,192,29400320,1048576,1048576
4,LL128,1,4,16384,1,2043952,98304,147456,192,2179840,65536,65536
4,LL128,1,4,65536,1,5202400,393216,442368,192,9418880,262144,262144
4,LL128,1,4,262144,1,18775136,1572864,1720320,192,26980160,1048576,1048576
4,LL128,1,4,16384,2,1518928,98304,147456,192,3812544,65536,65536
4,LL128,1,4,65536,2,3164640,393216,442368,192,26490880,262144,262144
4,LL128,1,4,262144,2,10196160,1572864,1720320,192,119506624,1048576,1048576
4,LL128,4,1,16384,0.5,7712320,98304,196608,768,0,65536,65536
4,LL128,4,1,65536,0.5,13783744,393216,589824,768,7436800,262144,262144
4,LL128,4,1,262144,0.5,38891200,1572864,1769472,768,28392960,1048576,1048576
4,LL128,4,1,16384,1,5312320,98304,196608,768,0,65536,65536
4,LL128,4,1,65536,1,7575808,393216,589824,768,8719360,262144,262144
4,LL128,4,1,262144,1,20209600,1572864,1769472,768,37675520,1048576,1048576
4,LL128,4,1,16384,2,4112320,98304,196608,768,0,65536,65536
4,LL128,4,1,65536,2,5475712,393216,589824,768,15250176,262144,262144
4,LL128,4,1,262144,2,12058560,1572864,1769472,768,105963520,1048576,1048576
4,LL128,4,4,16384,0.5,4608800,98304,196608,768,245760,65536,65536
4,LL128,4,4,65536,0.5,13018816,393216,589824,768,29932800,262144,262144
4,LL128,4,4,262144,0.5,38058560,1572864,1769472,768,138378240,1048576,1048576
4,LL128,4,4,16384,1,2508800,98304,196608,768,340480,65536,65536
4,LL128,4,4,65536,1,6722496,393216,589824,768,22939904,262144,262144
4,LL128,4,4,262144,1,19230240,1572864,1769472,768,113939840,1048576,1048576
4,LL128,4,4,16384,2,1573600,98304,196608,768,1393280,65536,65536
4,LL128,4,4,65536,2,3592960,393216,589824,768,29028416,262144,262144
4,LL128,4,4,262144,2,9991840,1572864,1769472,768,532237120,1048576,1048576
4,SIMPLE,1,1,16384,0.5,3329280,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,1,65536,0.5,9841920,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,1,262144,0.5,35936880,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,1,1,16384,1,2284800,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,1,65536,1,5664000,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,1,262144,1,19225200,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,1,1,16384,2,1786440,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,1,65536,2,3706440,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,1,262144,2,11418880,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,1,4,16384,0.5,3329280,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,4,65536,0.5,9841920,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,4,262144,0.5,35936880,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,1,4,16384,1,2284800,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,4,65536,1,5664000,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,4,262144,1,19225200,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,1,4,16384,2,1786440,98304,98304,800,7078400,65536,65536
4,SIMPLE,1,4,65536,2,3706440,393216,393216,800,31562240,262144,262144
4,SIMPLE,1,4,262144,2,11418880,1572864,1572864,800,128414720,1048576,1048576
4,SIMPLE,4,1,16384,0.5,6204480,98304,98304,3200,1945600,65536,65536
4,SIMPLE,4,1,65536,0.5,12717120,393216,393216,3200,28313600,262144,262144
4,SIMPLE,4,1,262144,0.5,38767680,1572864,1572864,3200,126248960,1048576,1048576
4,SIMPLE,4,1,16384,1,5160000,98304,98304,3200,1945600,65536,65536
4,SIMPLE,4,1,65536,1,8539200,393216,393216,3200,28313600,262144,262144
4,SIMPLE,4,1,262144,1,22056000,1572864,1572864,3200,126248960,1048576,1048576
4,SIMPLE,4,1,16384,2,4637760,98304,98304,3200,1945600,65536,65536
4,SIMPLE,4,1,65536,2,6545760,393216,393216,3200,28313600,262144,262144
4,SIMPLE,4,1,262144,2,14225760,1572864,1572864,3200,126248960,1048576,1048576
4,SIMPLE,4,4,16384,0.5,2736160,98304,98304,3200,3418880,65536,65536
4,SIMPLE,4,4,65536,0.5,9377440,393216,393216,3200,118218240,262144,262144
4,SIMPLE,4,4,262144,0.5,35428000,1572864,1572864,3200,675560960,1048576,1048576
4,SIMPLE,4,4,16384,1,1681200,98304,98304,3200,2677760,65536,65536
4,SIMPLE,4,4,65536,1,4848160,393216,393216,3200,58519040,262144,262144
4,SIMPLE,4,4,262144,1,18706880,1572864,1572864,3200,673640960,1048576,1048576
4,SIMPLE,4,4,16384,2,1416880,98304,98304,3200,3469120,65536,65536
4,SIMPLE,4,4,65536,2,2895400,393216,393216,3200,94277760,262144,262144
4,SIMPLE,4,4,262144,2,10382080,1572864,1572864,3200,613569280,1048576,1048576
