active_pair_limit_violations,allocation_epochs,credit_wait_packets,credit_wait_ps,degree,flow_count,max_active_classes,max_destination_allocated_bps,max_source_allocated_bps,mean_fct_ps,p50_seed_max_ps,p50_seed_mean_ps,p50_seed_min_ps,p99_seed_max_ps,p99_seed_mean_ps,p99_seed_min_ps,packet_count,payload_bytes,rx_wait_packets,rx_wait_ps,sample_count,size_bytes,transport,wire_bytes,worst_seed_max_ps,worst_seed_mean_ps,worst_seed_min_ps
,,0,0,3,,,,,13033.922839506173,13187,12381.111111111111,12194,21076,15976.555555555555,13642,324,,135,223988,324,256,nvlink-credit,88128,21076,15976.555555555555,13642
0,324,,,3,324,21,14570446125021,7200000000000,3447.2006172839506,3619,2801.4444444444443,2627,12319,6973.222222222223,4413,324,82944,,,324,256,rnic-nn,88128,12319,6973.222222222223,4413
0,648,,,3,324,27,14911338375063,7200000000000,3259.1111111111113,3529,2752.3333333333335,2560,11290,6444.888888888889,4239,0,82944,,,324,256,rnic-nn-fluid,0,11290,6444.888888888889,4239
,,0,0,3,,,,,22416.65740740741,23823,22113.88888888889,20078,36402,30244.555555555555,25878,1296,,1119,4239176,324,1024,nvlink-credit,352512,36402,30244.555555555555,25878
0,1395,,,3,324,27,14911338375063,7200000000000,14953.598765432098,15904,14395.666666666666,13134,29116,23257.88888888889,17545,1296,331776,,,324,1024,rnic-nn,352512,29116,23257.88888888889,17545
0,648,,,3,324,27,14911338375063,7200000000000,13506.052469135802,14122,13065.222222222223,11715,26453,21150.666666666668,15938,0,331776,,,324,1024,rnic-nn-fluid,0,26453,21150.666666666668,15938
,,0,0,3,,,,,106305.72839506173,122452,103118.33333333333,89660,176517,147855.44444444444,122864,5184,,5159,245368657,324,4096,nvlink-credit,1410048,176517,147855.44444444444,122864
0,5195,,,3,324,27,14911338375063,7200000000000,99437.8024691358,119015,98280.0,84741,172167,141838.11111111112,115794,5184,1327104,,,324,4096,rnic-nn,1410048,172167,141838.11111111112,115794
0,648,,,3,324,27,14911338375063,7200000000000,77139.6975308642,96536,76323.66666666667,63607,129066,102817.33333333333,75003,0,1327104,,,324,4096,rnic-nn-fluid,0,129066,102817.33333333333,75003
,,0,0,3,,,,,551357.6080246913,539675,522291.1111111111,504281,872791,847714.0,828097,20736,,20718,6900584986,324,16384,nvlink-credit,5640192,872791,847714.0,828097
0,20746,,,3,324,27,14911338375063,7200000000000,544539.8888888889,543446,521195.77777777775,503126,863901,842318.0,821062,20736,5308416,,,324,16384,rnic-nn,5640192,863901,842318.0,821062
0,648,,,3,324,27,14911338375063,7200000000000,447279.2067901235,451906,430227.77777777775,412849,686239,664369.5555555555,643601,0,5308416,,,324,16384,rnic-nn-fluid,0,686239,664369.5555555555,643601
,,0,0,3,,,,,2358780.595679012,2249593,2237490.6666666665,2213899,3723215,3700773.0,3670871,82944,,82918,124473590857,324,65536,nvlink-credit,22560768,3723215,3700773.0,3670871
0,82958,,,3,324,27,14911338375063,7200000000000,2349445.515432099,2246804,2233527.4444444445,2205339,3714923,3689740.3333333335,3655434,82944,21233664,,,324,65536,rnic-nn,22560768,3714923,3689740.3333333335,3655434
0,648,,,3,324,27,14911338375063,7200000000000,1963348.7037037036,1888446,1876427.4444444445,1848847,3002441,2977534.222222222,2942781,0,21233664,,,324,65536,rnic-nn-fluid,0,3002441,2977534.222222222,2942781
,,0,0,3,,,,,9549795.453703703,9067481,9044893.666666666,9023967,15098985,15063676.222222222,15034296,331776,,331755,2034923006988,324,262144,nvlink-credit,90243072,15098985,15063676.222222222,15034296
0,331786,,,3,324,27,14911338375063,7200000000000,9530536.626543209,9058515,9032607.666666666,9010344,15069541,15034660.333333334,15001961,331776,84934656,,,324,262144,rnic-nn,90243072,15069541,15034660.333333334,15001961
0,648,,,3,324,27,14911338375063,7200000000000,7987593.583333333,7632388,7607423.222222222,7585039,12221167,12186762.555555556,12153599,0,84934656,,,324,262144,rnic-nn-fluid,0,12221167,12186762.555555556,12153599
,,0,0,3,,,,,19150330.36728395,18162071,18145397.111111112,18127387,30239789,30217366.888888888,30194122,663552,,663527,8177109453268,324,524288,nvlink-credit,180486144,30239789,30217366.888888888,30194122
0,663565,,,3,324,27,14911338375063,7200000000000,19119059.895061728,18136524,18120617.444444444,18100158,30184571,30166704.777777776,30144002,663552,169869312,,,324,524288,rnic-nn,180486144,30184571,30166704.777777776,30144002
0,648,,,3,324,27,14911338375063,7200000000000,16032989.222222222,15286468,15270949.444444444,15250320,24488924,24470691.0,24447170,0,169869312,,,324,524288,rnic-nn-fluid,0,24488924,24470691.0,24447170
,,0,0,4,,,,,13012.282407407407,13135,12444.333333333334,12194,19260,16464.11111111111,14119,432,,228,325590,432,256,nvlink-credit,117504,19260,16464.11111111111,14119
0,432,,,4,432,27,14797707625051,7200000000000,3441.0300925925926,3545,2864.6666666666665,2627,10783,7390.111111111111,5065,432,110592,,,432,256,rnic-nn,117504,10783,7390.111111111111,5065
0,864,,,4,432,36,14911338375072,7200000000000,3336.25,3407,2822.5555555555557,2560,11654,7184.666666666667,3723,0,110592,,,432,256,rnic-nn-fluid,0,11654,7184.666666666667,3723
,,0,0,4,,,,,26286.791666666668,34824,25940.11111111111,23726,48351,38205.555555555555,29509,1728,,1584,11406623,432,1024,nvlink-credit,470016,48351,38205.555555555555,29509
0,1785,,,4,432,36,14911338375072,7200000000000,19424.68287037037,29349,18898.222222222223,15969,45220,32305.666666666668,26511,1728,442368,,,432,1024,rnic-nn,470016,45220,32305.666666666668,26511
0,864,,,4,432,36,14911338375072,7200000000000,17544.337962962964,25378,17102.11111111111,15164,35930,28572.0,23462,0,442368,,,432,1024,rnic-nn-fluid,0,35930,28572.0,23462
,,0,0,4,,,,,151897.3564814815,175780,141302.11111111112,118791,282611,224902.44444444444,182639,6912,,6897,582782698,432,4096,nvlink-credit,1880064,282611,224902.44444444444,182639
0,6916,,,4,432,36,14911338375072,7200000000000,145232.77314814815,177390,137895.88888888888,112170,274324,219605.44444444444,180526,6912,1769472,,,432,4096,rnic-nn,1880064,274324,219605.44444444444,180526
0,864,,,4,432,36,14911338375072,7200000000000,114332.27314814815,146470,108715.77777777778,85242,215299,161962.44444444444,120021,0,1769472,,,432,4096,rnic-nn-fluid,0,215299,161962.44444444444,120021
,,0,0,4,,,,,761642.2476851852,739014,724247.1111111111,709524,1218203,1184115.6666666667,1152722,27648,,27632,13894012884,432,16384,nvlink-credit,7520256,1218203,1184115.6666666667,1152722
0,27654,,,4,432,36,14911338375072,7200000000000,754271.4930555555,734080,723506.1111111111,704584,1211295,1179072.0,1146401,27648,7077888,,,432,16384,rnic-nn,7520256,1211295,1179072.0,1146401
0,864,,,4,432,36,14911338375072,7200000000000,626359.9675925926,614438,605053.0,585707,974828,941682.2222222222,908592,0,7077888,,,432,16384,rnic-nn-fluid,0,974828,941682.2222222222,908592
,,0,0,4,,,,,3161855.912037037,3006294,2997930.888888889,2987710,5017074,4975057.666666667,4935485,110592,,110575,236350056142,432,65536,nvlink-credit,30081024,5017074,4975057.666666667,4935485
0,110597,,,4,432,36,14911338375072,7200000000000,3151224.594907407,3006193,2994094.0,2978167,5000714,4961620.777777778,4922948,110592,28311552,,,432,65536,rnic-nn,30081024,5000714,4961620.777777778,4922948
0,864,,,4,432,36,14911338375072,7200000000000,2638099.141203704,2532522,2519843.5555555555,2504906,4050307,4012383.4444444445,3973715,0,28311552,,,432,65536,rnic-nn-fluid,0,4050307,4012383.4444444445,3973715
,,0,0,4,,,,,12753988.798611112,12111189,12086649.666666666,12068665,20163138,20123545.444444444,20097275,442368,,442348,3833787355500,432,262144,nvlink-credit,120324096,20163138,20123545.444444444,20097275
0,442376,,,4,432,36,14911338375072,7200000000000,12730931.307870371,12092828,12070293.0,12054088,20128577,20087615.888888888,20059570,442368,113246208,,,432,262144,rnic-nn,120324096,20128577,20087615.888888888,20059570
0,864,,,4,432,36,14911338375072,7200000000000,10675013.965277778,10194177,10172083.333333334,10154722,16331185,16290127.555555556,16262713,0,113246208,,,432,262144,rnic-nn-fluid,0,16331185,16290127.555555556,16262713
,,0,0,4,,,,,25538529.513888888,24211592,24193948.333333332,24171881,40363379,40318119.0,40300339,884736,,884717,15365548789024,432,524288,nvlink-credit,240648192,40363379,40318119.0,40300339
0,884745,,,4,432,36,14911338375072,7200000000000,25498771.73148148,24175654,24160819.111111112,24140537,40294233,40252751.333333336,40235118,884736,226492416,,,432,524288,rnic-nn,240648192,40294233,40252751.333333336,40235118
0,864,,,4,432,36,14911338375072,7200000000000,21385721.916666668,20379240,20363677.0,20343926,32700831,32658176.555555556,32639921,0,226492416,,,432,524288,rnic-nn-fluid,0,32700831,32658176.555555556,32639921
,,0,0,8,,,,,14577.956018518518,16091,14023.333333333334,13313,26689,19839.11111111111,16631,864,,702,2049332,864,256,nvlink-credit,235008,26689,19839.11111111111,16631
0,864,,,8,864,54,14911338375072,7200000000000,5007.28587962963,6546,4471.111111111111,3734,25062,12866.0,7060,864,221184,,,864,256,rnic-nn,235008,25062,12866.0,7060
0,1726,,,8,864,69,14911338375072,7200000000000,5374.738425925926,6611,4863.666666666667,3962,23731,13738.333333333334,8542,0,221184,,,864,256,rnic-nn-fluid,0,23731,13738.333333333334,8542
,,0,0,8,,,,,53399.8599537037,72701,53621.0,43292,97524,76685.33333333333,54124,3456,,3433,102697901,864,1024,nvlink-credit,940032,97524,76685.33333333333,54124
0,3461,,,8,864,72,14911338375072,7200000000000,50520.22106481482,70242,50388.22222222222,40377,98939,74793.44444444444,52697,3456,884736,,,864,1024,rnic-nn,940032,98939,74793.44444444444,52697
0,1726,,,8,864,72,14911338375072,7200000000000,42006.65277777778,54621,40826.0,35034,71419,58677.77777777778,44331,0,884736,,,864,1024,rnic-nn-fluid,0,71419,58677.77777777778,44331
,,0,0,8,,,,,355417.3645833333,362818,347263.22222222225,323800,571835,551328.8888888889,534437,13824,,13810,3488180724,864,4096,nvlink-credit,3760128,571835,551328.8888888889,534437
0,13828,,,8,864,72,14911338375072,7200000000000,352381.30324074073,367335,348451.1111111111,321862,568218,546626.8888888889,529044,13824,3538944,,,864,4096,rnic-nn,3760128,568218,546626.8888888889,529044
0,1728,,,8,864,72,14911338375072,7200000000000,291436.212962963,309536,290893.3333333333,265205,449623,428348.22222222225,411493,0,3538944,,,864,4096,rnic-nn-fluid,0,449623,428348.22222222225,411493
,,0,0,8,,,,,1554229.900462963,1497248,1479572.0,1459979,2471733,2440441.222222222,2405048,55296,,55286,62664453382,864,16384,nvlink-credit,15040512,2471733,2440441.222222222,2405048
0,55297,,,8,864,72,14911338375072,7200000000000,1549101.3599537036,1496184,1477930.3333333333,1458188,2466145,2433700.5555555555,2401453,55296,14155776,,,864,16384,rnic-nn,15040512,2466145,2433700.5555555555,2401453
0,1727,,,8,864,72,14911338375072,7200000000000,1295293.9155092593,1259281,1242866.4444444445,1224776,1990912,1959565.5555555555,1926026,0,14155776,,,864,16384,rnic-nn-fluid,0,1990912,1959565.5555555555,1926026
,,0,0,8,,,,,6346679.438657408,6042168,6019516.666666667,6007739,10057924,10016596.111111112,9992751,221184,,221170,1029741104881,864,65536,nvlink-credit,60162048,10057924,10016596.111111112,9992751
0,221189,,,8,864,72,14911338375072,7200000000000,6335682.475694444,6040767,6014286.888888889,6001046,10038189,9996907.333333334,9972360,221184,56623104,,,864,65536,rnic-nn,60162048,10038189,9996907.333333334,9972360
0,1728,,,8,864,72,14911338375072,7200000000000,5310345.685185186,5091330,5066937.777777778,5052994,8139349,8098149.0,8074112,0,56623104,,,864,65536,rnic-nn-fluid,0,8139349,8098149.0,8074112
,,0,0,8,,,,,25534759.209490743,24235332,24203077.666666668,24170617,40343740,40314895.11111111,40276125,884736,,884721,16600092050038,864,262144,nvlink-credit,240648192,40343740,40314895.11111111,40276125
0,884740,,,8,864,72,14911338375072,7200000000000,25498392.571759257,24200140,24171590.555555556,24143043,40280282,40250000.222222224,40208752,884736,226492416,,,864,262144,rnic-nn,240648192,40280282,40250000.222222224,40208752
0,1728,,,8,864,72,14911338375072,7200000000000,21387922.5,20405888,20376599.777777776,20347365,32684975,32655028.111111112,32613967,0,226492416,,,864,262144,rnic-nn-fluid,0,32684975,32655028.111111112,32613967
,,0,0,8,,,,,51120474.934027776,48456164,48435331.222222224,48412640,80763599,80729660.44444445,80689258,1769472,,1769461,66485673743628,864,524288,nvlink-credit,481296384,80763599,80729660.44444445,80689258
0,1769474,,,8,864,72,14911338375072,7200000000000,51050122.4375,48397497,48373097.666666664,48347419,80633256,80601181.0,80563577,1769472,452984832,,,864,524288,rnic-nn,481296384,80633256,80601181.0,80563577
0,1728,,,8,864,72,14911338375072,7200000000000,42825947.50694445,40805957,40780679.666666664,40756661,65443685,65412016.222222224,65373211,0,452984832,,,864,524288,rnic-nn-fluid,0,65443685,65412016.222222224,65373211
,,0,0,16,,,,,20233.447337962964,22389,19834.0,17793,40505,33098.11111111111,30302,1728,,1662,13892165,1728,256,nvlink-credit,470016,41117,33894.11111111111,31221
0,1728,,,16,1728,140,14911338375072,7200000000000,10650.195023148148,12813,10236.666666666666,8192,35310,25571.555555555555,21507,1728,442368,,,1728,256,rnic-nn,470016,36387,27685.555555555555,22158
0,3447,,,16,1728,144,14911338375072,7200000000000,13762.80324074074,14427,13072.777777777777,11425,33656,27162.0,23356,0,442368,,,1728,256,rnic-nn-fluid,0,35422,28139.666666666668,24809
,,0,0,16,,,,,134428.09490740742,156159,135223.55555555556,97163,257820,222083.44444444444,175095,6912,,6903,709573472,1728,1024,nvlink-credit,1880064,257846,222784.33333333334,175369
0,6912,,,16,1728,144,14911338375072,7200000000000,139071.72337962964,161487,140504.66666666666,102831,249349,216035.11111111112,168745,6912,1769472,,,1728,1024,rnic-nn,1880064,250033,218684.88888888888,172042
0,3454,,,16,1728,144,14911338375072,7200000000000,115698.41087962964,140242,117402.55555555556,79111,193629,161333.44444444444,119705,0,1769472,,,1728,1024,rnic-nn-fluid,0,194460,162476.44444444444,124141
,,0,0,16,,,,,732655.8119212963,723074,714099.5555555555,697864,1190496,1171356.6666666667,1138727,27648,,27637,15436851930,1728,4096,nvlink-credit,7520256,1191464,1172167.7777777778,1139150
0,27650,,,16,1728,144,14911338375072,7200000000000,736719.7309027778,724628,715982.7777777778,703329,1187403,1165074.3333333333,1131569,27648,7077888,,,1728,4096,rnic-nn,7520256,1189251,1167818.5555555555,1136864
0,3455,,,16,1728,144,14911338375072,7200000000000,616362.8697916666,608784,600373.6666666666,585872,950075,929676.8888888889,897432,0,7077888,,,1728,4096,rnic-nn-fluid,0,950817,930773.6666666666,897741
,,0,0,16,,,,,3139805.146412037,3026810,2994880.6666666665,2968235,4997563,4970472.666666667,4950629,110592,,110580,264949714934,1728,16384,nvlink-credit,30081024,4997838,4971323.666666667,4951376
0,110594,,,16,1728,144,14911338375072,7200000000000,3140734.657407407,3023232,2993949.4444444445,2961322,4984490,4957320.111111111,4936197,110592,28311552,,,1728,16384,rnic-nn,30081024,4986277,4959097.888888889,4937998
0,3455,,,16,1728,144,14911338375072,7200000000000,2634809.9143518517,2554161,2522418.111111111,2493340,4036876,4010812.111111111,3991696,0,28311552,,,1728,16384,rnic-nn-fluid,0,4037394,4011776.5555555555,3992666
,,0,0,16,,,,,12735943.455439815,12104586,12088983.555555556,12075619,20143851,20120428.444444444,20094050,442368,,442359,4296431037184,1728,65536,nvlink-credit,120324096,20145164,20121277.222222224,20094938
0,442368,,,16,1728,144,14911338375072,7200000000000,12723893.91261574,12091934,12076946.444444444,12061533,20106750,20084371.888888888,20058586,442368,113246208,,,1728,65536,rnic-nn,120324096,20108004,20086151.666666668,20061668
0,3454,,,16,1728,144,14911338375072,7200000000000,10675395.993055556,10198894,10181565.111111112,10168816,16311256,16288987.111111112,16263491,0,113246208,,,1728,65536,rnic-nn-fluid,0,16312252,16289987.888888888,16263999
,,0,0,16,,,,,51115064.54108796,48464879,48441771.44444445,48433646,80767565,80736252.33333333,80707291,1769472,,1769463,68962670898176,1728,262144,nvlink-credit,481296384,80768714,80737145.55555555,80708376
0,1769472,,,16,1728,144,14911338375072,7200000000000,51051961.059027776,48409323,48380762.44444445,48369364,80637474,80606184.66666667,80574505,1769472,452984832,,,1728,262144,rnic-nn,481296384,80641650,80609048.0,80575743
0,3456,,,16,1728,144,14911338375072,7200000000000,42832802.315393515,40816431,40790421.222222224,40780265,65452366,65419593.44444445,65389044,0,452984832,,,1728,262144,rnic-nn-fluid,0,65452437,65420707.55555555,65389219
,,0,0,16,,,,,102281908.2824074,96933448,96913135.44444445,96898905,161570009,161548597.0,161517681,3538944,,3538935,275979432042496,1728,524288,nvlink-credit,962592768,161570952,161549432.2222222,161518526
0,3538944,,,16,1728,144,14911338375072,7200000000000,102150991.9855324,96808454,96789677.8888889,96770394,161314784,161293444.66666666,161261321,3538944,905969664,,,1728,524288,rnic-nn,962592768,161318103,161295479.55555555,161262087
0,3454,,,16,1728,144,14911338375072,7200000000000,85704470.46527778,81622146,81604512.44444445,81588762,130935438,130916899.55555555,130887992,0,905969664,,,1728,524288,rnic-nn-fluid,0,130941042,130918569.33333333,130888163
