degree,jain_seed_max,jain_seed_mean,jain_seed_min,jain_worst_wave_seed_max,jain_worst_wave_seed_mean,jain_worst_wave_seed_min,size_bytes,transport
16,0.9992297227963917,0.9991551403375689,0.9990300043458699,0.9982713462644287,0.997142517448064,0.9959487075856572,4096,nvlink-credit
16,0.9997887938228396,0.9996501871461333,0.9994540941073803,0.9995105291998707,0.9990999804469803,0.9986499122821685,4096,rnic-nn
16,0.9998502137463814,0.9997235425234829,0.9994984863276474,0.999698362129093,0.9993242546043604,0.9988563270881686,4096,rnic-nn-fluid
16,0.999956203733707,0.999950401633678,0.999944467651808,0.9998697757455761,0.9998219102433359,0.9997639553683755,16384,nvlink-credit
16,0.9999858433459283,0.9999772856329747,0.9999556385973163,0.9999600648418187,0.9999400451770504,0.9998845645915057,16384,rnic-nn
16,0.9999889493129993,0.9999805050216535,0.9999571590732955,0.9999702139371763,0.9999527273803381,0.9999058368782302,16384,rnic-nn-fluid
16,0.9999974119543994,0.9999971130675969,0.999996605160642,0.9999926433121432,0.9999896887229549,0.9999858149673776,65536,nvlink-credit
16,0.9999991760153897,0.999998799607974,0.9999982716139414,0.999998172253877,0.9999968979506786,0.9999958176390102,65536,rnic-nn
16,0.9999994766551196,0.9999990229367144,0.9999986176978003,0.9999988794453676,0.9999975070017094,0.9999965028062133,65536,rnic-nn-fluid
16,0.9999998570003603,0.9999998323405115,0.9999998161007451,0.9999995798762958,0.9999994742632023,0.999999285930024,262144,nvlink-credit
16,0.9999999529528686,0.9999999408123605,0.9999999218952734,0.9999998716619464,0.9999998503317339,0.999999816438658,262144,rnic-nn
16,0.9999999717370845,0.999999957969583,0.9999999431061058,0.9999999137965867,0.9999998939294437,0.999999863843737,262144,rnic-nn-fluid
16,0.999999965648692,0.9999999555500598,0.9999999502983098,0.9999998855705778,0.9999998393708456,0.9999998071458887,524288,nvlink-credit
16,0.9999999890577972,0.999999982512466,0.9999999793020763,0.9999999732762839,0.9999999567053945,0.9999999491799243,524288,rnic-nn
16,0.99999999314619,0.9999999867045799,0.999999982878809,0.9999999835520613,0.9999999679256651,0.9999999602282423,524288,rnic-nn-fluid
