check,cell,measured,reference,band,verdict,note
incast_seq_err_bursts,5.2MB/1024KiB/2,0.77,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,5.2MB/1024KiB/3,0.59,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,2.6MB/64KiB/2,0.22,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,2.6MB/64KiB/3,0.66,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,2.6MB/1024KiB/2,0.86,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,2.6MB/1024KiB/3,0.69,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_direction_size,5.2MB/2,57.03 then 3.17,strictly increasing,categorical,FAIL,
incast_direction_size,5.2MB/3,88.03 then 88.03,strictly increasing,categorical,FAIL,
incast_direction_senders,5.2MB/64KiB,57.03 then 88.03,strictly increasing,categorical,PASS,
incast_direction_senders,5.2MB/1024KiB,3.17 then 88.03,strictly increasing,categorical,PASS,
incast_direction_size,2.6MB/2,45.40 then 2.59,strictly increasing,categorical,FAIL,
incast_direction_size,2.6MB/3,81.48 then 80.75,strictly increasing,categorical,FAIL,
incast_direction_senders,2.6MB/64KiB,45.40 then 81.48,strictly increasing,categorical,PASS,
incast_direction_senders,2.6MB/1024KiB,2.59 then 80.75,strictly increasing,categorical,PASS,
incast_buffer_direction,64KiB/2,57.03 then 45.40,not smaller at 2.6 MB,categorical,FAIL,
incast_buffer_direction,64KiB/3,88.03 then 81.48,not smaller at 2.6 MB,categorical,FAIL,
incast_buffer_direction,1024KiB/2,3.17 then 2.59,not smaller at 2.6 MB,categorical,FAIL,
incast_buffer_direction,1024KiB/3,88.03 then 80.75,not smaller at 2.6 MB,categorical,FAIL,
fanout_rate,64KiB x2,98.62,97.8,3 points,PASS,
fanout_split,64KiB x2,50.000,50,0.5 points,PASS,
