architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
gh200,2,legacy,auto,2670592,40.46174440556772,43.48320141,-6.9485615282627755
gh200,2,legacy,auto,2686976,40.64400256497331,43.67680103,-6.943728463409138
gh200,2,legacy,auto,2703360,40.82611405275658,43.96640137,-7.142470658028799
gh200,2,legacy,auto,2719744,41.00807987481083,44.10719872,-7.0263334220404765
gh200,2,legacy,auto,2736128,41.18990102411504,44.24479976,-6.904537374913778
gh200,2,legacy,auto,2752512,41.3715784809762,44.15199906,-6.297383217564789
gh200,2,legacy,auto,2768896,41.55311321326485,44.37919706,-6.368037355237255
gh200,2,legacy,auto,2785280,41.73450617664604,44.5520021,-6.324061300387573
gh200,2,legacy,auto,2801664,41.9157583148039,44.54880208,-5.910470410557222
gh200,2,legacy,auto,2818048,42.096870559661106,44.94560137,-6.338174868075841
gh200,2,legacy,auto,2834432,42.27784383159288,44.97919977,-6.005789236403569
gh200,2,legacy,auto,2850816,42.4586790396359,45.1936014,-6.051569858657235
gh200,2,legacy,auto,2867200,42.63937708169236,45.40799931,-6.09721254047394
gh200,2,legacy,auto,2883584,42.81993884472953,45.28320208,-5.43968430262225
gh200,2,legacy,auto,2899968,43.00036520497381,45.27679831,-5.027813781000956
gh200,2,legacy,auto,2916352,43.180657028100704,45.47519982,-5.0457013954453345
gh200,2,legacy,auto,2932736,43.360815169420995,45.57920247,-4.867104250099885
gh200,2,legacy,auto,2949120,43.54084047406134,45.91520131,-5.171186814379802
gh200,2,legacy,auto,2965504,43.72073377714175,46.09439895,-5.149573976293809
gh200,2,legacy,auto,2981888,43.90049590394876,46.31520063,-5.213633306571818
gh200,2,legacy,auto,2998272,44.08012767010443,46.38879746,-4.976783008626773
gh200,2,legacy,auto,3014656,44.25962988173179,46.49440199,-4.806540169607654
gh200,2,legacy,auto,3031040,44.43900333561635,46.15519941,-3.718315804766781
gh200,2,legacy,auto,3047424,44.61824881936424,46.4511998,-3.945971231158074
gh200,2,legacy,auto,3063808,44.79736711155685,46.46559805,-3.5902495791575118
gh200,2,legacy,auto,3080192,44.976358981901605,46.90400138,-4.109761089424547
gh200,2,legacy,auto,3096576,45.15522519137994,47.09280282,-4.114381630725927
gh200,2,legacy,auto,3112960,45.3339664923921,47.33439907,-4.226170854413047
gh200,2,legacy,auto,3129344,45.51258362889802,47.36319929,-3.907286012861688
gh200,2,legacy,auto,3145728,45.69107733655594,47.55679891,-3.923143727513878
gh200,2,legacy,auto,3162112,45.86944834285825,47.48960212,-3.4115968650312856
gh200,2,legacy,auto,3178496,46.047697367262984,47.43840173,-2.9316003744231045
gh200,2,legacy,auto,3194880,46.22582512132414,47.62719944,-2.9423823679603167
gh200,2,legacy,auto,3211264,46.40383230881901,48.01280051,-3.351123417276758
gh200,2,legacy,auto,3227648,46.581719625871145,48.38880152,-3.734504342666878
gh200,2,legacy,auto,3244032,46.759487761073146,48.52960259,-3.6474950019302343
gh200,2,legacy,auto,3260416,46.937137395605184,48.59359935,-3.408806872822878
gh200,2,legacy,auto,3276800,47.114669203352136,48.5823974,-3.0211110920760453
gh200,2,legacy,auto,3293184,47.29208385101688,48.54720086,-2.5853540199003655
gh200,2,legacy,auto,3309568,47.46938199823298,48.63680154,-2.4002802503509724
gh200,2,legacy,auto,3325952,47.646564297674345,48.94239828,-2.64767160553141
gh200,2,legacy,auto,3342336,47.82363139516183,49.25920069,-2.914317071185446
gh200,2,legacy,auto,3358720,48.00058392976893,49.64799806,-3.3181884357958547
gh200,2,legacy,auto,3375104,48.177422533924855,49.76960272,-3.1991016585618204
gh200,2,legacy,auto,3391488,48.35414783351523,49.96480048,-3.223574658582873
gh200,2,legacy,auto,3407872,48.53076044798142,49.88319799,-2.711208576261892
gh200,2,legacy,auto,3424256,48.70726099041732,49.62239787,-1.8442012455346157
gh200,2,legacy,auto,3440640,48.88365006766443,49.81439933,-1.8684341773745672
gh200,2,legacy,auto,3457024,49.05992828040522,49.95999858,-1.801581915887196
gh200,2,legacy,auto,3473408,49.236096223254485,50.40479824,-2.3186324666568336
gh200,2,legacy,auto,3489792,49.41215448484877,50.77279732,-2.679865808014603
gh200,2,legacy,auto,3506176,49.58810364793447,50.87199807,-2.5237743174523763
gh200,2,legacy,auto,3522560,49.76394428945402,51.02559924,-2.4725921289268205
gh200,2,legacy,auto,3538944,49.93967698063024,51.15360022,-2.373094433527556
gh200,2,legacy,auto,3555328,50.11530228704945,50.68160221,-1.1173678381438568
gh200,2,legacy,auto,3571712,50.29082076874258,50.94720051,-1.2883529118122738
gh200,2,legacy,auto,3588096,50.46623298026544,51.27520114,-1.5776986569507212
gh200,2,legacy,auto,3604480,50.641539470776074,51.6015999,-1.8605245401003945
gh200,2,legacy,auto,3620864,50.81674078411247,51.83039978,-1.9557228965821682
gh200,2,legacy,auto,3637248,50.99183745886767,52.04799771,-2.0292043836479867
gh200,2,legacy,auto,3653632,51.166830028463544,52.12960392,-1.8468851077671045
gh200,2,legacy,auto,3670016,51.34171902122378,51.99999735,-1.2659199275444233
gh200,2,legacy,auto,3686400,51.516504960444614,51.95840076,-0.8504799860883705
gh200,2,legacy,auto,3702784,51.691188364465255,52.10400373,-0.7922910639918013
gh200,2,legacy,auto,3719168,51.86576974673634,52.41759866,-1.052755042906539
gh200,2,legacy,auto,3735552,52.040249615887575,52.68960074,-1.2324085113430416
gh200,2,legacy,auto,3751936,52.21462847579367,53.17439884,-1.8049482178336462
gh200,2,legacy,auto,3768320,52.38890682563945,53.23519558,-1.5897166247633598
gh200,2,legacy,auto,3784704,52.56308515998374,53.30880359,-1.3988654402218526
gh200,2,legacy,auto,3801088,52.737163968822365,53.55839804,-1.5333432313720419
