architecture,lane,arm,width,bytes,median_us,min_us,max_us,q1_us,q3_us,relative_iqr,repetitions
a100,legacy,auto,2,2752512,75.62239468,75.11039823,78.89919728,75.57119429,78.33600044,0.03656067969943864,5
a100,legacy,auto,2,2768896,74.95679706,74.34239984,77.92639732,74.5472014,77.82400399,0.04371588326242162,5
a100,legacy,auto,2,2785280,74.90559667,74.23999906,78.0287981,74.85439628,77.87520438,0.04032820288860796,5
a100,legacy,auto,2,2801664,75.46880096,75.16159862,78.33600044,75.2639994,78.33600044,0.0407055763563572,5
a100,legacy,auto,2,2818048,75.72479546,75.36640018,79.15519923,75.52000135,78.64320278,0.04124410519734925,5
a100,legacy,auto,2,2834432,75.82719624,75.46880096,79.05279845,75.46880096,78.7967965,0.04388920736916862,5
a100,legacy,auto,2,2850816,76.90240443,75.87839663,79.41120118,75.92959702,79.00159806,0.03994674890557259,5
a100,legacy,auto,2,2867200,79.20639962,76.08319819,79.51359451,76.44160092,79.3088004,0.036199088631166804,5
a100,legacy,auto,2,2883584,76.33920014,76.18559897,80.38400114,76.28799975,79.87199724,0.04694832384184319,5
a100,legacy,auto,2,2899968,76.18559897,75.41760057,79.25760001,75.77599585,79.05279845,0.04301078739684543,5
a100,legacy,auto,2,2916352,76.80000365,75.82719624,79.82079685,76.5440017,79.46239412,0.037999899496098576,5
a100,legacy,auto,2,2932736,77.00480521,76.28799975,80.02559841,76.28799975,79.97439802,0.047872314720449095,5
a100,legacy,auto,2,2949120,77.00480521,76.44160092,80.17919958,76.90240443,79.92319763,0.03922863244393628,5
a100,legacy,auto,2,2965504,77.3120001,76.28799975,80.5888027,76.59520209,80.12799919,0.04569532666895777,5
a100,legacy,auto,2,2981888,77.26079971,77.00480521,80.38400114,77.00480521,80.23039997,0.04174943531658136,5
a100,legacy,auto,2,2998272,77.72160321,77.15839893,80.53760231,77.26079971,80.28160036,0.03886693692920798,5
a100,legacy,auto,2,3014656,77.56800205,77.00480521,80.43520153,77.41440088,80.33280075,0.03762375970595212,5
a100,legacy,auto,2,3031040,77.67040282,77.10719854,81.3056007,77.15839893,80.48640192,0.0428477627148735,5
a100,legacy,auto,2,3047424,78.13119888,77.56800205,82.02239871,77.87520438,80.43520153,0.032765363730458616,5
a100,legacy,auto,2,3063808,77.87520438,77.46560127,81.86879754,77.82400399,80.5888027,0.03550294001809473,5
a100,legacy,auto,2,3080192,78.43840122,77.72160321,81.91999793,77.92639732,80.74240386,0.035900866108958526,5
