operation,ranks,operation_buffer_bytes,measured_ps,predicted_ps,signed_relative_error,absolute_relative_error,measured_normalized_efficiency,predicted_normalized_efficiency,floor_fraction_absolute_difference,donor_regime_index
reduce_scatter,8,655360,586751997,251565378.47771993,-0.5712577379132125,0.5712577379132125,0.009773123959218498,0.022794869606859957,0.686355131080781,0
reduce_scatter,8,786432,678911984,255815667.73816687,-0.6231975959078565,0.6231975959078565,0.010135746845205195,0.02689936883398067,0.7017548746366018,0
reduce_scatter,8,917504,722944021,260065956.9986138,-0.6402681958156566,0.6402681958156566,0.01110481554145117,0.0308697074105812,0.7104378007516479,0
reduce_scatter,8,1048576,647167981,264316246.2590607,-0.5915801553552744,0.5915801553552744,0.014177215606097793,0.03471235737438323,0.7146612755203289,0
reduce_scatter,8,1179648,690176010,268566535.51950765,-0.6108723983038651,0.6108723983038651,0.014955489397552372,0.03843338106154426,0.7158139782044874,0
reduce_scatter,8,1310720,603136003,272816824.7799546,-0.5476694751714986,0.5476694751714986,0.019015280041241377,0.04203846302093124,0.7147945777716749,0
reduce_scatter,8,1572864,639999986,281317403.3008485,-0.5604415477270831,0.5604415477270831,0.02150400047040001,0.04892182224958882,0.708476573662404,0
reduce_scatter,8,2097152,684032023,348490180.8167489,-0.49053528329221374,0.49053528329221374,0.026826346403375913,0.05265594559075758,0.3941234410212925,1
reduce_scatter,8,3145728,933888018,362961721.5296375,-0.6113434217659728,0.6113434217659728,0.029473683642442877,0.07583477366153181,0.45827517952784197,1
reduce_scatter,8,4194304,1056767941,377433262.2425261,-0.6428418694407327,0.6428418694407327,0.03472868410946619,0.09723615714721426,0.49269746294547506,1
reduce_scatter,8,8388608,1642495990,435319425.0940805,-0.7349646953512011,0.7349646953512011,0.04468827957382106,0.16861255383707455,0.5190334622135044,1
reduce_scatter,8,16777216,3043328047,551091750.7971894,-0.8189180586889293,0.8189180586889293,0.04823687677860119,0.2663814869078398,0.45938391304425774,1
reduce_scatter,8,33554432,5958655834,782636402.203407,-0.8686555451419604,0.8686555451419604,0.04927307234707458,0.3751439099604941,0.3442056785292912,1
reduce_scatter,8,67108864,11105279922,1245725705.0158424,-0.8878258167497417,0.8878258167497417,0.052875980085538274,0.47137388081153253,0.22340891138851,1
