operation,ranks,operation_buffer_bytes,median_us,minimum_us,maximum_us,p05_us_nearest_rank,p95_us_nearest_rank,job_id,nodelist,freeze_commit,harness_commit,gpu,cuda_module,nccl_version,network_classes,gdr_states,source_sha256,binary_sha256,nccl_sha256
reduce_scatter,2,2048,61.439998,38.9119982719,65.5359998345,38.9119982719,64.5119994879,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,8192,62.463999,38.9119982719,70.6560015678,38.9119982719,66.5600001812,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,32768,65.536,39.9359986186,76.8000036478,40.9599989653,75.7760033011,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,65536,64.511999,40.9599989653,67.5840005279,40.9599989653,66.5600001812,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,131072,65.536,40.9599989653,73.7280026078,41.9839993119,69.6320012212,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,196608,65.536,41.9839993119,74.7520029545,43.0079996586,70.6560015678,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,262144,67.584001,44.0320000052,81.9199979305,44.0320000052,79.8719972372,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,393216,71.680002,47.1040010452,79.8719972372,47.1040010452,74.7520029545,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,524288,73.728003,50.1759983599,93.1840017438,50.1759983599,77.8239965439,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,655360,77.823997,53.2479993999,87.0399996638,53.2479993999,86.0159993172,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
