architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,4,1310720,20,100,1,0,37.5910401344,37.5091195107,37.7548789978
a100,event,4,1310720,20,100,1,1,38.7071990967,38.5331201553,38.7174391747
a100,event,4,1572864,5,20,0,0,45.7727998495,45.5680012703,45.8752006292
a100,event,4,1572864,5,20,0,1,46.9503998756,46.9503998756,47.0016002655
a100,event,4,1572864,5,20,1,0,45.7727998495,45.5680012703,45.8240002394
a100,event,4,1572864,5,20,1,1,46.8991994858,46.8479990959,47.0016002655
a100,event,4,1572864,5,100,0,0,45.8547210693,45.8342409134,45.8854389191
a100,event,4,1572864,5,100,0,1,47.2166395187,47.206401825,47.2473621368
a100,event,4,1572864,5,100,1,0,45.5168008804,45.5065584183,45.5782413483
a100,event,4,1572864,5,100,1,1,46.9094419479,46.8991994858,46.9913578033
a100,event,4,1572864,20,20,0,0,45.8752006292,45.7727998495,45.977601409
a100,event,4,1572864,20,20,0,1,47.0528006554,46.9503998756,47.2063988447
a100,event,4,1572864,20,20,1,0,45.7215994596,45.7215994596,45.7727998495
a100,event,4,1572864,20,20,1,1,47.1040010452,47.0528006554,47.1040010452
a100,event,4,1572864,20,100,0,0,46.3667201996,46.1721611023,46.4281606674
a100,event,4,1572864,20,100,0,1,48.3635187149,48.1177616119,48.4863996506
a100,event,4,1572864,20,100,1,0,45.8137607574,45.6703996658,45.8239984512
a100,event,4,1572864,20,100,1,1,47.2678422928,47.2575998306,47.3292779922
a100,event,4,2097152,5,20,0,0,50.8928000927,50.8928000927,50.9440004826
a100,event,4,2097152,5,20,0,1,52.4287998676,52.275198698,52.4287998676
a100,event,4,2097152,5,20,1,0,50.9952008724,50.9440004826,51.0464012623
a100,event,4,2097152,5,20,1,1,52.275198698,52.2239983082,52.4287998676
a100,event,4,2097152,5,100,0,0,53.2377576828,53.0636787415,53.5347223282
a100,event,4,2097152,5,100,0,1,54.5587205887,54.5075178146,54.6303987503
a100,event,4,2097152,5,100,1,0,51.7632007599,51.722240448,51.8553590775
a100,event,4,2097152,5,100,1,1,54.3539190292,54.2719984055,54.6918392181
a100,event,4,2097152,20,20,0,0,50.9952008724,50.8928000927,50.9952008724
a100,event,4,2097152,20,20,0,1,52.3775994778,52.275198698,52.3775994778
a100,event,4,2097152,20,20,1,0,51.0464012623,50.9440004826,51.0464012623
a100,event,4,2097152,20,20,1,1,52.4287998676,52.3775994778,52.5824010372
a100,event,4,2097152,20,100,0,0,53.0841588974,52.9817581177,53.2377576828
a100,event,4,2097152,20,100,0,1,53.3913612366,53.1763219833,53.4015989304
a100,event,4,2097152,20,100,1,0,53.3708810806,53.3606386185,53.3811187744
a100,event,4,2097152,20,100,1,1,54.1900777817,54.0979194641,54.2003202438
a100,event,4,3145728,5,20,0,0,63.4368002415,63.2831990719,63.4880006313
a100,event,4,3145728,5,20,0,1,64.767998457,64.5120024681,64.8191988468
a100,event,4,3145728,5,20,1,0,63.3343994617,63.3343994617,63.4368002415
a100,event,4,3145728,5,20,1,1,64.8191988468,64.7167980671,65.0240004063
a100,event,4,3145728,5,100,0,0,64.1433620453,64.1228818893,64.2764806747
a100,event,4,3145728,5,100,0,1,65.5872011185,65.5769586563,65.6691217422
a100,event,4,3145728,5,100,1,0,64.8908805847,64.8601579666,65.0444793701
a100,event,4,3145728,5,100,1,1,65.8739185333,65.6486415863,65.8841609955
a100,event,4,3145728,20,20,0,0,63.6416018009,63.5392010212,63.7952029705
a100,event,4,3145728,20,20,0,1,64.8191988468,64.767998457,64.9215996265
a100,event,4,3145728,20,20,1,0,63.6928021908,63.4368002415,63.7440025806
a100,event,4,3145728,20,20,1,1,64.9215996265,64.767998457,65.0752007961
a100,event,4,3145728,20,100,0,0,63.2934379578,63.1910419464,63.3753585815
a100,event,4,3145728,20,100,0,1,64.8908805847,64.8396778107,65.0239992142
a100,event,4,3145728,20,100,1,0,64.2150402069,64.1024017334,64.2764806747
a100,event,4,3145728,20,100,1,1,64.6655988693,64.6348810196,64.6655988693
a100,event,4,4194304,5,20,0,0,76.8000006676,76.7488002777,76.8512010574
a100,event,4,4194304,5,20,0,1,78.8479983807,78.7967979908,79.1552007198
a100,event,4,4194304,5,20,1,0,77.004802227,76.9536018372,77.004802227
a100,event,4,4194304,5,20,1,1,78.9503991604,78.8991987705,79.3088018894
a100,event,4,4194304,5,100,0,0,76.4006376266,76.3596820831,76.5849590302
a100,event,4,4194304,5,100,0,1,78.7865591049,78.745598793,78.8889598846
a100,event,4,4194304,5,100,1,0,76.5030384064,76.4723205566,76.6361618042
a100,event,4,4194304,5,100,1,1,78.7865591049,78.5612821579,78.8070392609
a100,event,4,4194304,20,20,0,0,77.6704013348,77.5168001652,77.6704013348
a100,event,4,4194304,20,20,0,1,80.2304029465,79.6159982681,80.2304029465
a100,event,4,4194304,20,20,1,0,76.9024014473,76.9024014473,77.1071970463
a100,event,4,4194304,20,20,1,1,79.4112026691,79.0527999401,79.4623970985
a100,event,4,4194304,20,100,0,0,76.8204784393,76.7999982834,76.9843196869
a100,event,4,4194304,20,100,0,1,79.3292808533,79.1859197617,79.359998703
a100,event,4,4194304,20,100,1,0,76.8102407455,76.7590379715,77.0355176926
a100,event,4,4194304,20,100,1,1,79.1142416,79.04255867,79.2166423798
a100,reference,2,8,5,20,-1,-1,10.3104,10.18915,10.45215
a100,reference,2,8,5,100,-1,-1,10.20668,10.20217,10.39225
a100,reference,2,8,20,20,-1,-1,10.48925,10.1942,10.53685
a100,reference,2,8,20,100,-1,-1,10.30869,10.14516,10.32512
a100,reference,2,1024,5,20,-1,-1,10.6636,10.5794,10.66755
a100,reference,2,1024,5,100,-1,-1,10.41458,10.40768,10.71527
a100,reference,2,1024,20,20,-1,-1,10.5694,10.4221,10.60045
a100,reference,2,1024,20,100,-1,-1,10.60396,10.43332,10.60755
a100,reference,2,524288,5,20,-1,-1,27.78355,27.73,27.82615
a100,reference,2,524288,5,100,-1,-1,27.28903,27.12412,27.29425
a100,reference,2,524288,20,20,-1,-1,27.44395,27.41635,27.59675
a100,reference,2,524288,20,100,-1,-1,27.15699,27.07252,27.15999
a100,reference,2,786432,5,20,-1,-1,50.79295,50.56905,51.12065
a100,reference,2,786432,5,100,-1,-1,49.54638,49.47975,49.59727
a100,reference,2,786432,20,20,-1,-1,50.2494,50.16975,50.30805
a100,reference,2,786432,20,100,-1,-1,49.47753,49.34398,49.49999
a100,reference,2,1048576,5,20,-1,-1,52.37705,52.3069,52.38555
a100,reference,2,1048576,5,100,-1,-1,51.98298,51.92476,52.02676
a100,reference,2,1048576,20,20,-1,-1,52.24125,52.16165,52.27985
a100,reference,2,1048576,20,100,-1,-1,51.88438,51.83679,51.99449
a100,reference,2,1310720,5,20,-1,-1,56.81255,56.80505,56.98445
a100,reference,2,1310720,5,100,-1,-1,55.55165,55.10099,55.5659
a100,reference,2,1310720,20,20,-1,-1,56.9158,56.73045,56.9458
a100,reference,2,1310720,20,100,-1,-1,55.31539,55.02754,56.4057
a100,reference,2,1572864,5,20,-1,-1,60.73065,59.41715,60.7667
a100,reference,2,1572864,5,100,-1,-1,59.21722,59.09218,59.64435
a100,reference,2,1572864,20,20,-1,-1,60.5618,60.36495,60.7542
a100,reference,2,1572864,20,100,-1,-1,59.28537,59.19358,60.43538
a100,reference,2,2097152,5,20,-1,-1,67.3524,67.20665,67.35495
a100,reference,2,2097152,5,100,-1,-1,65.9366,64.06507,66.83872
a100,reference,2,2097152,20,20,-1,-1,67.36245,67.25675,67.51075
a100,reference,2,2097152,20,100,-1,-1,64.9594,63.91058,66.45529
a100,reference,2,3145728,5,20,-1,-1,79.44875,79.3816,79.74935
a100,reference,2,3145728,5,100,-1,-1,79.04669,78.93006,79.14226
