architecture,width,bytes,control,baseline_us,reference_us,controlled_us,baseline_gap_us,controlled_gap_us,effect_us,twice_pooled_iqr_us,qualifies,diagnostic_tiny
a100,4,786432,warmup_only,26.5727996826,26.09604,26.7776012421,0.4767596826000009,0.6815612421000026,0.20480155950000167,0.6869199819806077,False,False
a100,4,786432,iterations_only,26.5727996826,26.09604,26.0915207863,0.4767596826000009,0.00451921370000008,0.481278896300001,0.7165052602299179,False,False
a100,4,786432,workers_only,26.5727996826,26.09604,26.5727996826,0.4767596826000009,0.4767596826000009,0.0,0.9440801365317975,False,False
a100,4,786432,rotation_only,26.5727996826,26.09604,26.8287986517,0.4767596826000009,0.7327586517000029,0.25599896910000197,0.738414258125909,False,False
a100,4,786432,joint,26.5727996826,26.09604,27.0950388908,0.4767596826000009,0.9989988908000029,0.522239208200002,0.6869178494839868,False,False
a100,4,1048576,warmup_only,31.6927999258,31.61788,31.9487988949,0.07491992579999973,0.3309188949000017,0.25599896910000197,0.4579502088057972,False,False
a100,4,1048576,iterations_only,31.6927999258,31.61788,31.4982390404,0.07491992579999973,0.1196409595999981,0.19456088539999783,0.4949209907432382,False,False
a100,4,1048576,workers_only,31.6927999258,31.61788,31.7440003157,0.07491992579999973,0.1261203156999997,0.051200389899999976,0.28963314304006277,False,False
a100,4,1048576,rotation_only,31.6927999258,31.61788,32.563200593,0.07491992579999973,0.9453205929999982,0.8704006671999984,0.2896331430400577,False,False
a100,4,1048576,joint,31.6927999258,31.61788,32.9625606537,0.07491992579999973,1.344680653700003,1.2697607279000032,0.21381910554970246,False,False
a100,4,1310720,warmup_only,37.1199995279,36.78967,37.7855986357,0.33032952789999825,0.9959286356999968,0.6655991077999985,0.5970889095696019,False,False
a100,4,1310720,iterations_only,37.1199995279,36.78967,36.8435192108,0.33032952789999825,0.05384921079999572,0.27648031710000254,0.6686657994853424,False,False
a100,4,1310720,workers_only,37.1199995279,36.78967,37.1199995279,0.33032952789999825,0.33032952789999825,0.0,0.3692112619390557,False,False
a100,4,1310720,rotation_only,37.1199995279,36.78967,38.2975995541,0.33032952789999825,1.5079295541000022,1.177600026200004,0.36921126204998983,False,False
a100,4,1310720,joint,37.1199995279,36.78967,38.7071990967,0.33032952789999825,1.917529096700001,1.5871995688000027,0.47986173098119056,False,False
a100,4,1572864,warmup_only,45.7727998495,45.03296,45.8752006292,0.7398398494999938,0.8422406291999991,0.10240077970000527,0.7384175644774582,False,False
a100,4,1572864,iterations_only,45.7727998495,45.03296,45.8547210693,0.7398398494999938,0.8217610692999955,0.08192121980000167,0.622872962637576,False,False
a100,4,1572864,workers_only,45.7727998495,45.03296,45.7727998495,0.7398398494999938,0.7398398494999938,0.0,0.7997672618676838,False,False
a100,4,1572864,rotation_only,45.7727998495,45.03296,46.9503998756,0.7398398494999938,1.917439875599996,1.1776000261000021,0.6228737465473513,False,False
a100,4,1572864,joint,45.7727998495,45.03296,47.2678422928,0.7398398494999938,2.2348822927999947,1.495042443300001,0.6309015928302178,False,False
